"Count","interaction","name","selected","shared interaction","shared name","WhichCancer"
"8","interacts with","miR-20b-5p (interacts with) miR-106a-5p","false","interacts with","miR-20b-5p (interacts with) miR-106a-5p","THYM - MESO - HNSC - PRAD - DLBC - ESCA - BLCA - SARC"
"6","interacts with","miR-20b-5p (interacts with) miR-20a-5p","false","interacts with","miR-20b-5p (interacts with) miR-20a-5p","UCS - BRCA - SKCM - LUSC - THYM - STAD"
"3","interacts with","miR-20b-5p (interacts with) miR-17-5p","false","interacts with","miR-20b-5p (interacts with) miR-17-5p","THYM - STAD - LIHC"
"5","interacts with","miR-106a-5p (interacts with) miR-17-5p","false","interacts with","miR-106a-5p (interacts with) miR-17-5p","SKCM - LUSC - LIHC - UCS - DLBC"
"3","interacts with","miR-106a-5p (interacts with) miR-424-5p","false","interacts with","miR-106a-5p (interacts with) miR-424-5p","SARC - UCEC - UVM"
"7","interacts with","miR-20a-5p (interacts with) miR-17-5p","false","interacts with","miR-20a-5p (interacts with) miR-17-5p","BLCA - UCS - SKCM - SARC - THYM - LIHC - LUSC"
"5","interacts with","miR-20a-5p (interacts with) miR-19a-3p","false","interacts with","miR-20a-5p (interacts with) miR-19a-3p","LIHC - BLCA - SARC - SKCM - HNSC"
"4","interacts with","miR-20a-5p (interacts with) miR-106a-5p","false","interacts with","miR-20a-5p (interacts with) miR-106a-5p","UCS - SKCM - LIHC - UVM"
"3","interacts with","miR-20a-5p (interacts with) miR-7-5p","false","interacts with","miR-20a-5p (interacts with) miR-7-5p","UCS - SKCM - STAD"
"3","interacts with","miR-17-5p (interacts with) miR-18a-5p","false","interacts with","miR-17-5p (interacts with) miR-18a-5p","SKCM - ESCA - DLBC"
"3","interacts with","miR-17-5p (interacts with) miR-130b-3p","false","interacts with","miR-17-5p (interacts with) miR-130b-3p","UCS - STAD - LUSC"
"3","interacts with","miR-17-5p (interacts with) miR-19a-3p","false","interacts with","miR-17-5p (interacts with) miR-19a-3p","SARC - LIHC - SKCM"
"7","interacts with","miR-182-5p (interacts with) miR-96-5p","false","interacts with","miR-182-5p (interacts with) miR-96-5p","ACC - THYM - MESO - PCPG - ESCA - DLBC - UCS"
"3","interacts with","miR-96-5p (interacts with) miR-17-5p","false","interacts with","miR-96-5p (interacts with) miR-17-5p","OV - ESCA - BLCA"
"3","interacts with","miR-96-5p (interacts with) miR-452-3p","false","interacts with","miR-96-5p (interacts with) miR-452-3p","UCEC - DLBC - TGCT"
"7","interacts with","miR-301a-3p (interacts with) miR-301b-3p","false","interacts with","miR-301a-3p (interacts with) miR-301b-3p","COAD - LUSC - ACC - SARC - LUAD - UCEC - READ"
"4","interacts with","miR-301a-3p (interacts with) miR-130a-3p","false","interacts with","miR-301a-3p (interacts with) miR-130a-3p","BLCA - SARC - SKCM - LUAD"
"6","interacts with","miR-215-5p (interacts with) miR-192-5p","false","interacts with","miR-215-5p (interacts with) miR-192-5p","ESCA - LUAD - UCEC - ACC - CHOL - KIRP"
"5","interacts with","miR-130b-3p (interacts with) miR-301b-3p","false","interacts with","miR-130b-3p (interacts with) miR-301b-3p","UCS - SARC - LUSC - UCEC - ACC"
"3","interacts with","miR-130b-3p (interacts with) miR-301a-3p","false","interacts with","miR-130b-3p (interacts with) miR-301a-3p","ACC - UCEC - SARC"
"5","interacts with","miR-200b-3p (interacts with) miR-200c-3p","false","interacts with","miR-200b-3p (interacts with) miR-200c-3p","SARC - THYM - MESO - STAD - SKCM"
"5","interacts with","miR-497-5p (interacts with) miR-195-5p","false","interacts with","miR-497-5p (interacts with) miR-195-5p","THYM - SARC - UCEC - UCS - ACC"
"3","interacts with","miR-195-5p (interacts with) miR-9-5p","false","interacts with","miR-195-5p (interacts with) miR-9-5p","UVM - KIRP - SKCM"
"5","interacts with","miR-19a-3p (interacts with) miR-103a-2-5p","false","interacts with","miR-19a-3p (interacts with) miR-103a-2-5p","BLCA - PAAD - ESCA - SARC - HNSC"
"3","interacts with","miR-19a-3p (interacts with) miR-106a-5p","false","interacts with","miR-19a-3p (interacts with) miR-106a-5p","DLBC - BLCA - SKCM"
"3","interacts with","miR-19a-3p (interacts with) miR-19b-3p","false","interacts with","miR-19a-3p (interacts with) miR-19b-3p","SARC - HNSC - LIHC"
"5","interacts with","miR-424-5p (interacts with) miR-195-5p","false","interacts with","miR-424-5p (interacts with) miR-195-5p","SKCM - PCPG - STAD - TGCT - ACC"
